Street,street_lon,street_lat,street_E,street_N,veg_lon,veg_lat,veg_E,veg_N,bound_lon,bound_lat,bound_E,bound_N,Drain,drain_lon,drain_lat,drain_E,drain_N,Wetland,wetland_lon,wetland_lat,wetland_E,wetland_N,swan_lon,swan_lat,swan_E,swan_N,Path,path_lon,path_lat,path_E,path_N
Vliiers_St,115.9419769,-31.91485378,399969.2964,6468513.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9424,-31.91896,400017.8,6468059,115.9424,-31.92099,400013.6,6467834,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9425,-31.91887,400023,6468069,115.9421,-31.92108,399985.6,6467824,NA,NA,NA,NA,NA
Claughton_Wy,115.9445699,-31.91447583,400214.0501,6468558.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9425,-31.91886,400027.4,6468070,115.9417,-31.92124,399948.8,6467805,NA,NA,NA,NA,NA
Claughton_Wy,115.9442035,-31.91461523,400179.5614,6468542.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9426,-31.91881,400034.4,6468076,115.9414,-31.9214,399924.4,6467787,NA,NA,NA,NA,NA
Claughton_Wy,115.944153,-31.91466884,400174.8415,6468536.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9427,-31.91883,400039.9,6468074,115.9412,-31.92165,399901.9,6467760,NA,NA,NA,NA,NA
Claughton_Wy,115.944134,-31.91474391,400173.1308,6468527.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9428,-31.9188,400051.3,6468077,115.9411,-31.92178,399890.5,6467745,NA,NA,NA,NA,NA
Claughton_Wy,115.9440298,-31.91519429,400163.7625,6468477.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9428,-31.91876,400051.1,6468082,115.941,-31.92182,399880.4,6467741,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9427,-31.91869,400039.8,6468090,115.9408,-31.92204,399864.2,6467716,NA,NA,NA,NA,NA
Leithbridge_Ct,115.942378,-31.91521838,400007.6142,6468473.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9425,-31.91877,400022.4,6468080,115.9407,-31.92219,399852.5,6467700,NA,NA,NA,NA,NA
Leithbridge_Ct,115.9419674,-31.91559637,399969.202,6468431.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9425,-31.91875,400020.3,6468082,115.9405,-31.92222,399838,6467696,NA,NA,NA,NA,NA
